Fecha,Directorio,Tamano
2025-01-10,20241231.005,12M
2025-01-16,20250105.001,440M
2025-01-16,20250105.005,13M
2025-01-22,20250112.005,0
2025-01-22,20250116.002,142M
2025-01-17,20250117.001,11G
2025-01-17,20250117.002,7.8G
2025-01-18,20250117.003,35G
2025-01-18,20250118.001,27G
2025-01-18,20250118.002,1.3G
2025-01-18,20250118.003,309M
2025-01-18,20250118.004,31G
2025-01-19,20250118.005,35G
2025-01-19,20250119.001,27G
2025-01-19,20250119.002,73M
2025-01-19,20250119.003,345M
2025-01-19,20250119.004,31G
2025-01-20,20250119.005,35G
2025-01-20,20250120.001,12G
2025-01-20,20250120.002,671M
2025-01-20,20250120.003,219M
2025-01-20,20250120.004,1.4G
2025-01-20,20250120.005,490M
2025-01-20,20250120.006,6.3G
2025-01-21,20250120.007,35G
2025-01-21,20250121.001,27G
2025-01-21,20250121.002,1.4G
2025-01-21,20250121.003,345M
2025-01-21,20250121.004,31G
2025-01-22,20250121.005,35G
2025-01-22,20250122.001,27G
2025-01-22,20250122.002,1.3G
2025-01-22,20250122.003,345M
2025-01-22,20250122.004,14G
2025-01-23,20250122.005,35G
2025-01-27,20250123.001,440M
2025-01-27,20250124.001,0
2025-01-25,20250125.001,27G
2025-01-25,20250125.002,1.3G
2025-01-25,20250125.003,323M
2025-01-25,20250125.004,37M
2025-01-26,20250125.005,35G
2025-01-26,20250126.001,27G
2025-01-26,20250126.002,1.3G
2025-01-26,20250126.003,331M
2025-01-26,20250126.004,31G
2025-01-27,20250126.005,35G
2025-01-27,20250127.001,5.5G
2025-01-27,20250127.002,20G
2025-01-27,20250127.003,1.4G
2025-01-27,20250127.004,294M
2025-01-27,20250127.005,31G
2025-01-28,20250127.006,35G
2025-01-28,20250128.001,18G
2025-01-28,20250128.002,807M
2025-01-28,20250128.003,16G
2025-01-29,20250128.004,35G
2025-01-29,20250129.001,27G
2025-01-29,20250129.002,1.4G
2025-01-29,20250129.003,316M
2025-01-29,20250129.004,26G
